t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
3.2306,0.1292,0.0851,-0.0087,-0.1159,-1.0278,0.2482,-0.3615,1.3429,1.4481,0.3698,0.1183,0.1450
3.2415,0.1335,0.0897,-0.0103,1.6539,1.2585,1.4318,-1.6470,-1.2054,0.2292,-0.1240,0.0715,-0.0079
3.2516,0.1476,0.1267,-0.0008,0.6917,-1.1198,0.9057,-0.9780,-1.1787,-0.4172,-0.0899,0.1321,0.0011
3.2639,0.1171,0.0551,-0.0188,0.8137,1.2328,0.7592,-0.4863,1.3494,2.1863,-0.1525,0.0155,-0.0161
3.2768,0.1480,0.1280,-0.0010,0.7257,-1.1827,0.9253,-1.0377,-1.3470,-0.5736,-0.0890,0.1359,0.0007
3.2866,0.1195,0.0572,-0.0192,0.8426,1.2485,0.7947,-0.5223,1.2944,2.1647,-0.1516,0.0184,-0.0162
3.3860,0.1484,0.1265,-0.0023,0.6995,-1.2446,0.8953,-1.0173,-1.3328,-0.5903,-0.0889,0.1345,-0.0006
3.4007,0.1226,0.0540,-0.0203,0.8738,1.2657,0.8336,-0.5611,1.2426,2.1420,-0.1522,0.0169,-0.0169
3.4177,0.1482,0.1201,-0.0049,0.8230,-0.9428,0.9625,-1.1059,-1.3355,-0.5190,-0.0925,0.1242,-0.0031
3.4326,0.2635,0.1391,-0.0252,0.1164,-0.0450,0.0107,-0.4105,2.0412,2.8584,-0.0729,0.0561,-0.0071
3.4463,0.2209,0.1137,-0.0279,0.1329,-2.0543,0.5356,-0.0738,2.0914,2.3491,-0.1880,0.1015,-0.0223
3.4639,0.1592,0.1238,-0.0069,0.6065,-1.4279,0.7923,-0.9554,-1.2724,-0.6268,-0.0838,0.1289,-0.0047
3.4880,0.1568,0.1239,-0.0062,0.6008,-1.4416,0.7884,-0.9491,-1.2729,-0.6296,-0.0828,0.1291,-0.0043
3.5007,0.1661,0.0477,-0.0240,-0.0487,-0.0143,-0.0061,0.1534,2.5029,2.9504,-0.1161,0.0074,-0.0150
3.5265,-1.1640,-0.1532,0.1376,-0.7146,0.6575,0.0311,0.5452,0.7161,0.0229,2.3869,-2.8793,2.9458
3.5481,0.0750,0.0268,-0.0069,-0.0047,0.2894,0.6960,0.0934,0.0254,-0.0051,-0.3125,-0.0880,0.6235
3.5786,0.1649,0.0597,-0.0136,-0.3282,-0.4045,0.5983,-0.0226,-0.0090,-0.0006,0.0138,-0.0469,-0.0044
3.5995,0.0355,0.0150,-0.0047,0.0833,0.5437,0.6579,0.0742,0.0130,-0.0052,-0.2877,-0.0767,0.6106
3.6115,-0.0041,0.0054,0.0000,0.0013,0.0018,-0.0004,0.0018,0.0011,-0.0002,-0.0006,-0.0015,-0.0005
3.6227,-0.0251,0.0069,0.0025,-0.0619,0.0462,-0.0049,0.0677,0.0282,-0.0036,-0.0104,0.7030,0.9820
3.6365,-2.9996,-3.0147,2.9938,-0.3479,0.2008,-0.0544,0.2632,0.2722,-0.0227,2.9416,1.9529,2.8569
3.6519,0.3970,-1.5831,-0.0299,-0.1811,0.1024,-0.0177,0.1014,0.0696,-0.0075,-0.3719,2.9027,2.7260
